Date,Close for VIX,Closed for RV(Pt),P(t-1),log(Pt/Pt-1)=daily returns,r^2,RV,IV=VIX/100,IV*IV,RV*RV,VRP=IV^2-RV^2,true volatality,IV_error,RV_error,Final_IV,Final_RV,Final_VRP
09-Feb-26,12.19,17.76,21.77,-0.0884154676,,0.1776,0.2177,0.04739329,0.03154176,0.01585153,0.19765,0.02005,-0.02005,0.19765,0.19765,-0.0401
10-Feb-26,11.67,17.36,17.76,-0.009893240602,,0.1736,0.1776,0.03154176,0.03013696,0.0014048,0.1756,0.002,-0.002,0.1756,0.1756,-0.004
11-Feb-26,11.55,17.79,17.36,0.01062622724,,0.1779,0.1736,0.03013696,0.03164841,-0.00151145,0.17575,-0.00215,0.00215,0.17575,0.17575,0.0043
12-Feb-26,11.73,17.65,17.79,-0.00343123836,,0.1765,0.1779,0.03164841,0.03115225,0.00049616,0.1772,0.0007,-0.0007,0.1772,0.1772,-0.0014
13-Feb-26,13.29,20.82,17.65,0.07173601545,,0.2082,0.1765,0.03115225,0.04334724,-0.01219499,0.19235,-0.01585,0.01585,0.19235,0.19235,0.0317
16-Feb-26,13.33,20.6,20.82,-0.004613504805,,0.206,0.2082,0.04334724,0.042436,0.00091124,0.2071,0.0011,-0.0011,0.2071,0.2071,-0.0022
17-Feb-26,12.67,21.2,20.6,0.01246864056,,0.212,0.206,0.042436,0.044944,-0.002508,0.209,-0.003,0.003,0.209,0.209,0.006
18-Feb-26,12.22,20.29,21.2,-0.0190538139,,0.2029,0.212,0.044944,0.04116841,0.00377559,0.20745,0.00455,-0.00455,0.20745,0.20745,-0.0091
19-Feb-26,13.46,19.62,20.29,-0.01458304399,,0.1962,0.2029,0.04116841,0.03849444,0.00267397,0.19955,0.00335,-0.00335,0.19955,0.19955,-0.0067
20-Feb-26,14.36,20.23,19.62,0.01329687973,,0.2023,0.1962,0.03849444,0.04092529,-0.00243085,0.19925,-0.00305,0.00305,0.19925,0.19925,0.0061
23-Feb-26,14.17,19.09,20.23,-0.02518995438,,0.1909,0.2023,0.04092529,0.03644281,0.00448248,0.1966,0.0057,-0.0057,0.1966,0.1966,-0.0114
24-Feb-26,14.15,21.01,19.09,0.04162012401,,0.2101,0.1909,0.03644281,0.04414201,-0.0076992,0.2005,-0.0096,0.0096,0.2005,0.2005,0.0192
25-Feb-26,13.49,19.55,21.01,-0.03127929067,,0.1955,0.2101,0.04414201,0.03822025,0.00592176,0.2028,0.0073,-0.0073,0.2028,0.2028,-0.0146
26-Feb-26,13.06,17.93,19.55,-0.03756647217,,0.1793,0.1955,0.03822025,0.03214849,0.00607176,0.1874,0.0081,-0.0081,0.1874,0.1874,-0.0162
27-Feb-26,13.7,18.63,17.93,0.01663256533,,0.1863,0.1793,0.03214849,0.03470769,-0.0025592,0.1828,-0.0035,0.0035,0.1828,0.1828,0.007
02-Mar-26,17.13,19.86,18.63,0.02776638926,,0.1986,0.1863,0.03470769,0.03944196,-0.00473427,0.19245,-0.00615,0.00615,0.19245,0.19245,0.0123
04-Mar-26,21.14,23.57,19.86,0.07438033836,,0.2357,0.1986,0.03944196,0.05555449,-0.01611253,0.21715,-0.01855,0.01855,0.21715,0.21715,0.0371
05-Mar-26,17.86,21.15,23.57,-0.04704921081,,0.2115,0.2357,0.05555449,0.04473225,0.01082224,0.2236,0.0121,-0.0121,0.2236,0.2236,-0.0242
06-Mar-26,19.88,23.75,21.15,0.05035324225,,0.2375,0.2115,0.04473225,0.05640625,-0.011674,0.2245,-0.013,0.013,0.2245,0.2245,0.026
09-Mar-26,23.36,29.49,23.75,0.09401115859,,0.2949,0.2375,0.05640625,0.08696601,-0.03055976,0.2662,-0.0287,0.0287,0.2662,0.2662,0.0574